"#datatype measurement,tag,tag,field,field,timestamp"
measurement,codigo,nombre,reserva,porcentaje,timestamp
embalses,S19,CASASOLA,0.8,4,2002-01-01T00:00:00Z
embalses,S19,CASASOLA,0.8,4,2002-01-02T00:00:00Z
embalses,S19,CASASOLA,0.81,4,2002-01-03T00:00:00Z
embalses,S19,CASASOLA,0.84,4,2002-01-04T00:00:00Z
embalses,S19,CASASOLA,0.85,4,2002-01-05T00:00:00Z
embalses,S19,CASASOLA,0.86,4,2002-01-06T00:00:00Z
embalses,S19,CASASOLA,0.86,4,2002-01-07T00:00:00Z
embalses,S19,CASASOLA,0.86,4,2002-01-08T00:00:00Z
embalses,S19,CASASOLA,0.86,4,2002-01-09T00:00:00Z
embalses,S19,CASASOLA,0.86,4,2002-01-10T00:00:00Z
embalses,S19,CASASOLA,0.86,4,2002-01-11T00:00:00Z
embalses,S19,CASASOLA,0.86,4,2002-01-12T00:00:00Z
embalses,S19,CASASOLA,0.86,4,2002-01-13T00:00:00Z
embalses,S19,CASASOLA,0.86,4,2002-01-14T00:00:00Z
embalses,S19,CASASOLA,0.86,4,2002-01-15T00:00:00Z
embalses,S19,CASASOLA,0.86,4,2002-01-16T00:00:00Z
embalses,S19,CASASOLA,0.87,4,2002-01-17T00:00:00Z
embalses,S19,CASASOLA,0.87,4,2002-01-18T00:00:00Z
embalses,S19,CASASOLA,0.87,4,2002-01-19T00:00:00Z
embalses,S19,CASASOLA,0.87,4,2002-01-20T00:00:00Z
embalses,S19,CASASOLA,0.87,4,2002-01-21T00:00:00Z
embalses,S19,CASASOLA,0.88,4,2002-01-22T00:00:00Z
embalses,S19,CASASOLA,0.88,4,2002-01-23T00:00:00Z
embalses,S19,CASASOLA,0.88,4,2002-01-24T00:00:00Z
embalses,S19,CASASOLA,0.89,4,2002-01-25T00:00:00Z
embalses,S19,CASASOLA,0.89,4,2002-01-26T00:00:00Z
embalses,S19,CASASOLA,0.89,4,2002-01-27T00:00:00Z
embalses,S19,CASASOLA,0.9,4,2002-01-28T00:00:00Z
embalses,S19,CASASOLA,0.9,4,2002-01-29T00:00:00Z
embalses,S19,CASASOLA,0.9,4,2002-01-30T00:00:00Z
embalses,S19,CASASOLA,0.9,4,2002-01-31T00:00:00Z
embalses,S19,CASASOLA,0.9,4,2002-02-01T00:00:00Z
embalses,S19,CASASOLA,0.9,4,2002-02-02T00:00:00Z
embalses,S19,CASASOLA,0.9,4,2002-02-03T00:00:00Z
embalses,S19,CASASOLA,0.9,4,2002-02-04T00:00:00Z
embalses,S19,CASASOLA,0.9,4,2002-02-05T00:00:00Z
embalses,S19,CASASOLA,0.9,4,2002-02-06T00:00:00Z
embalses,S19,CASASOLA,0.9,4,2002-02-07T00:00:00Z
embalses,S19,CASASOLA,0.85,4,2002-02-08T00:00:00Z
embalses,S19,CASASOLA,0.82,4,2002-02-09T00:00:00Z
embalses,S19,CASASOLA,0.79,4,2002-02-10T00:00:00Z
embalses,S19,CASASOLA,0.78,4,2002-02-11T00:00:00Z
embalses,S19,CASASOLA,0.75,3,2002-02-12T00:00:00Z
embalses,S19,CASASOLA,0.74,3,2002-02-13T00:00:00Z
embalses,S19,CASASOLA,0.74,3,2002-02-14T00:00:00Z
embalses,S19,CASASOLA,0.74,3,2002-02-15T00:00:00Z
embalses,S19,CASASOLA,0.74,3,2002-02-16T00:00:00Z
embalses,S19,CASASOLA,0.74,3,2002-02-17T00:00:00Z
embalses,S19,CASASOLA,0.73,3,2002-02-18T00:00:00Z
embalses,S19,CASASOLA,0.73,3,2002-02-19T00:00:00Z
